Date,Country.Region,WHO.Region,Continent,Population,Confirmed,Deaths,Recovered,Active,New Cases,New Deaths,New Recovered,Active_per_1Mpopulation,Deaths_per_1Mpopulation,Recovered_per_1Mpopulation
2020-02-02,South Korea,Western Pacific,Asia,51273732,15.0,0.0,0.0,15.0,3.0,0.0,0.0,0.292547458804052,0.0,0.0
2020-02-02,Spain,Europe,Europe,46756648,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.02138733298417799,0.0,0.0
2020-02-02,Sri Lanka,South-East Asia,Asia,21422362,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.04668019334189199,0.0,0.0
2020-02-02,Sweden,Europe,Europe,10105596,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.09895507400058344,0.0,0.0
2020-02-02,Taiwan*,Western Pacific,Asia,23821199,10.0,0.0,0.0,10.0,0.0,0.0,0.0,0.41979415057990993,0.0,0.0
2020-02-02,Thailand,South-East Asia,Asia,69817894,19.0,0.0,5.0,14.0,0.0,0.0,0.0,0.20052165996298885,0.0,0.0716148785582103
2020-02-02,US,Americas,North America,331198130,8.0,0.0,0.0,8.0,0.0,0.0,0.0,0.024154725752829582,0.0,0.0
2020-02-02,United Arab Emirates,Eastern Mediterranean,Asia,9902079,5.0,0.0,0.0,5.0,1.0,0.0,0.0,0.5049444667124954,0.0,0.0
2020-02-02,Vietnam,Western Pacific,Asia,97425470,6.0,0.0,1.0,5.0,0.0,0.0,0.0,0.05132128179622844,0.0,0.010264256359245688
2020-02-03,Cambodia,Western Pacific,Asia,16741375,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.05973225018852991,0.0,0.0
2020-02-03,China,Western Pacific,Asia,1421864031,39432.0,850.0,1190.0,37392.0,6172.0,128.0,290.0,26.297873203601704,0.5978068095598376,0.8369295333837726
2020-02-03,Finland,Europe,Europe,5541604,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.180453168432822,0.0,0.0
2020-02-03,Germany,Europe,Europe,83811260,12.0,0.0,0.0,12.0,2.0,0.0,0.0,0.1431788521017343,0.0,0.0
2020-02-03,India,South-East Asia,Asia,1381344997,3.0,0.0,0.0,3.0,1.0,0.0,0.0,0.002171796333656971,0.0,0.0
2020-02-03,Italy,Europe,Europe,60452568,2.0,0.0,0.0,2.0,0.0,0.0,0.0,0.03308378893019069,0.0,0.0
2020-02-03,Japan,Western Pacific,Asia,126435859,20.0,0.0,1.0,19.0,0.0,0.0,0.0,0.1502738238208197,0.0,0.007909148622148405
2020-02-03,Malaysia,Western Pacific,Asia,32406372,8.0,0.0,0.0,8.0,0.0,0.0,0.0,0.24686503012432248,0.0,0.0
2020-02-03,Nepal,South-East Asia,Asia,29186486,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.03426243227773292,0.0,0.0
2020-02-03,Philippines,Western Pacific,Asia,109722719,2.0,1.0,0.0,1.0,0.0,0.0,0.0,0.009113882786663353,0.009113882786663353,0.0
2020-02-03,Russia,Europe,Europe,145940924,2.0,0.0,0.0,2.0,0.0,0.0,0.0,0.013704175259298757,0.0,0.0
2020-02-03,Singapore,Western Pacific,Asia,5854932,18.0,0.0,0.0,18.0,0.0,0.0,0.0,3.0743311792519536,0.0,0.0
2020-02-03,South Korea,Western Pacific,Asia,51273732,15.0,0.0,0.0,15.0,0.0,0.0,0.0,0.292547458804052,0.0,0.0
2020-02-03,Spain,Europe,Europe,46756648,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.02138733298417799,0.0,0.0
2020-02-03,Sri Lanka,South-East Asia,Asia,21422362,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.04668019334189199,0.0,0.0
2020-02-03,Sweden,Europe,Europe,10105596,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.09895507400058344,0.0,0.0
2020-02-03,Taiwan*,Western Pacific,Asia,23821199,10.0,0.0,0.0,10.0,0.0,0.0,0.0,0.41979415057990993,0.0,0.0
2020-02-03,Thailand,South-East Asia,Asia,69817894,19.0,0.0,5.0,14.0,0.0,0.0,0.0,0.20052165996298885,0.0,0.0716148785582103
2020-02-03,US,Americas,North America,331198130,11.0,0.0,0.0,11.0,3.0,0.0,0.0,0.03321274791014068,0.0,0.0
2020-02-03,United Arab Emirates,Eastern Mediterranean,Asia,9902079,5.0,0.0,0.0,5.0,0.0,0.0,0.0,0.5049444667124954,0.0,0.0
2020-02-03,Vietnam,Western Pacific,Asia,97425470,8.0,0.0,1.0,7.0,2.0,0.0,0.0,0.07184979451471982,0.0,0.010264256359245688
2020-02-04,Belgium,Europe,Europe,11594739,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.08624601209220838,0.0,0.0
2020-02-04,Cambodia,Western Pacific,Asia,16741375,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.05973225018852991,0.0,0.0
2020-02-04,China,Western Pacific,Asia,1421864031,47414.0,982.0,1624.0,44808.0,7982.0,132.0,434.0,31.51356179147906,0.6906426905738359,1.142162657323737
2020-02-04,Finland,Europe,Europe,5541604,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.180453168432822,0.0,0.0
